x	insertSortbest*1000	insertSortaverage	insertSortworst	selectionSortbest	selectionSortaverage	selectionSortworst	mergebest	mergeaverage	mergeworst
266 0 773 433 971 970.5 836 209.5 196 273
267 500 974.5 504.5 972 952 936 182.5 177 324
268 500 1228.5 588.5 1058.5 927 948 182.5 174.5 184
269 500 993 522 860 868 945 204 173.5 176
270 1000 1035 604.5 942.5 853.5 849.5 164 139.5 139
271 500 804 482 738.5 740.5 744.5 143 141.5 142
272 500 807 445 751.5 748 746 141.5 142 143
273 500 983.5 648.5 956 870.5 890 172.5 191 282.5
274 500 990 701.5 1095 974 970.5 176 176.5 211
275 500 894 492.5 779.5 765.5 760.5 147 153.5 141.5
276 0 829 574.5 947.5 1000.5 1067 211.5 187.5 245
277 1500 1004.5 616.5 1092 991.5 898.5 187 193.5 202
278 8500 1015 467 780.5 776 779.5 142.5 139 142.5
279 1000 846.5 468 785.5 783.5 786 142 138 138
280 500 851 507.5 830.5 1018 1069.5 397 190 196
281 1000 934.5 485 963.5 798.5 849 162.5 171 163.5
282 1000 909.5 559.5 821 799.5 804.5 157 146 159
283 1000 874 484 806 811 828 150 145.5 145.5
284 500 1185 663.5 931 987 900.5 176.5 156 175.5
285 1000 983.5 536.5 905.5 978 904 164 163.5 166.5
286 1000 971 493.5 820.5 842 954.5 277 177 284.5
287 1000 1496 713 1059.5 1158.5 1011.5 182 273.5 178.5
288 1000 1157 641.5 1060.5 960.5 1308.5 197.5 189.5 190
289 1000 1426 717 1174 1094.5 1051.5 216 423.5 216
290 1500 1014 514 845.5 842 854.5 153 146 146
291 1000 916.5 524.5 864.5 858 853.5 148 147 147
292 1000 922 552.5 886.5 862.5 856 150 147.5 147.5
293 1000 932 518.5 862 885.5 864.5 152 148 148
294 1000 940 607 908.5 1071 1031 211.5 188.5 186.5
295 1000 1020.5 596 1333.5 1340.5 1370.5 219.5 263 200.5
296 1500 1245 935.5 1076.5 1078 1059 205.5 194 193
297 1000 1211.5 672 1160 1188.5 1161.5 201.5 194 194
298 1500 1326.5 722.5 1159.5 1257.5 1517 199.5 185 150.5
299 1000 967 671 929 1183.5 898 161 154.5 154
300 1000 1015 549.5 899.5 960.5 1241 205.5 188.5 154.5
301 1000 1069.5 566 935.5 914 928 160 156 155.5
302 1000 983.5 550.5 947.5 935 915 160.5 151 150.5
303 1000 994.5 603.5 924.5 1183 1239.5 244 280 264.5
304 1500 1705.5 973.5 1669 2267.5 1863.5 332 221 382.5
305 1500 2044.5 960 1321 1502 1093.5 179 157 157
306 1000 1013.5 573 1113 942 1002.5 162 157 156.5
307 1000 1023.5 572 942 943 946 172.5 165.5 171
308 1000 1035.5 717 949.5 952 951 156.5 155 154.5
309 1000 1030 574.5 962.5 991 961.5 157.5 162.5 152
310 1000 1036 670.5 967 964.5 967.5 153.5 153 153
311 1000 1043 678 1492 1332 1115 208.5 197.5 196
312 1000 1270.5 776 1056.5 1044 1100 208.5 196 179.5
313 1500 1748.5 1224 2324 1394.5 1899 278 219 229
314 1500 1481.5 870 1381 1190.5 1148 171 158.5 162.5
315 1000 1086 690.5 995.5 998.5 1002.5 163 159 158
316 1000 1071 601 1008.5 1011 1035 166.5 160.5 160.5
317 1000 1098 620 1024 1024 1024 167.5 162 162
318 1000 1119 623 1034.5 1058.5 1168.5 224.5 270 221.5
319 1500 1449.5 718.5 1286 1669 1263 220 215.5 206.5
320 1500 1444 839.5 1338.5 1221 1273.5 232 231.5 228.5
